epoch	time	train_nll	train_acc	valid_nll	valid_acc	test_nll	test_acc
180	7537	1.7158	0.74382	0.0000	0.00000	1.6492	0.81060
181	7579	1.7129	0.74700	0.0000	0.00000	1.6494	0.81080
182	7621	1.7127	0.74780	0.0000	0.00000	1.6515	0.80910
183	7662	1.7119	0.74806	0.0000	0.00000	1.6509	0.80920
184	7704	1.7141	0.74554	0.0000	0.00000	1.6485	0.81250
185	7746	1.7113	0.74870	0.0000	0.00000	1.6636	0.79530
186	7787	1.7096	0.75098	0.0000	0.00000	1.6664	0.79400
187	7829	1.7121	0.74828	0.0000	0.00000	1.6537	0.80610
188	7870	1.7094	0.75126	0.0000	0.00000	1.6485	0.81230
189	7912	1.7099	0.75048	0.0000	0.00000	1.6490	0.81070
190	7954	1.7083	0.75202	0.0000	0.00000	1.6515	0.80900
191	7996	1.7086	0.75158	0.0000	0.00000	1.6491	0.81110
192	8037	1.7059	0.75410	0.0000	0.00000	1.6443	0.81620
193	8079	1.7060	0.75384	0.0000	0.00000	1.6441	0.81640
194	8120	1.7060	0.75422	0.0000	0.00000	1.6450	0.81490
195	8162	1.7037	0.75694	0.0000	0.00000	1.6516	0.80980
196	8204	1.7068	0.75286	0.0000	0.00000	1.6510	0.80950
197	8245	1.7067	0.75358	0.0000	0.00000	1.6437	0.81610
198	8287	1.7068	0.75320	0.0000	0.00000	1.6451	0.81510
199	8329	1.7050	0.75490	0.0000	0.00000	1.6408	0.81900
200	8370	1.7032	0.75678	0.0000	0.00000	1.6475	0.81310
201	8412	1.7053	0.75498	0.0000	0.00000	1.6421	0.81850
202	8454	1.7022	0.75788	0.0000	0.00000	1.6438	0.81600
203	8495	1.7004	0.75976	0.0000	0.00000	1.6419	0.81840
204	8537	1.6986	0.76164	0.0000	0.00000	1.6420	0.81820
205	8579	1.6987	0.76166	0.0000	0.00000	1.6497	0.81070
206	8621	1.7008	0.75942	0.0000	0.00000	1.6412	0.81890
207	8662	1.6985	0.76166	0.0000	0.00000	1.6634	0.79550
208	8704	1.7004	0.75966	0.0000	0.00000	1.6417	0.81850
209	8745	1.6988	0.76136	0.0000	0.00000	1.6434	0.81710
210	8787	1.6973	0.76304	0.0000	0.00000	1.6449	0.81590
211	8829	1.6960	0.76426	0.0000	0.00000	1.6378	0.82290
212	8870	1.6983	0.76166	0.0000	0.00000	1.6375	0.82300
213	8912	1.6963	0.76348	0.0000	0.00000	1.6467	0.81360
214	8954	1.6980	0.76212	0.0000	0.00000	1.6391	0.82210
215	8995	1.6955	0.76486	0.0000	0.00000	1.6410	0.81900
216	9037	1.6933	0.76768	0.0000	0.00000	1.6387	0.82160
217	9079	1.6942	0.76568	0.0000	0.00000	1.6384	0.82210
218	9120	1.6983	0.76156	0.0000	0.00000	1.6423	0.81750
219	9162	1.6926	0.76736	0.0000	0.00000	1.6338	0.82620
220	9204	1.6934	0.76686	0.0000	0.00000	1.6453	0.81620
221	9245	1.6943	0.76604	0.0000	0.00000	1.6363	0.82410
222	9287	1.6931	0.76660	0.0000	0.00000	1.6423	0.81810
223	9329	1.6913	0.76864	0.0000	0.00000	1.6393	0.82070
224	9371	1.6936	0.76646	0.0000	0.00000	1.6321	0.82790
225	9412	1.6913	0.76860	0.0000	0.00000	1.6311	0.82920
226	9454	1.6930	0.76744	0.0000	0.00000	1.6438	0.81750
227	9495	1.6906	0.76890	0.0000	0.00000	1.6405	0.81910
228	9537	1.6889	0.77088	0.0000	0.00000	1.6377	0.82300
229	9579	1.6897	0.77046	0.0000	0.00000	1.6387	0.82110
230	9620	1.6922	0.76754	0.0000	0.00000	1.6325	0.82770
231	9662	1.6895	0.77098	0.0000	0.00000	1.6320	0.82780
232	9704	1.6869	0.77312	0.0000	0.00000	1.6364	0.82340
233	9746	1.6891	0.77136	0.0000	0.00000	1.6468	0.81410
234	9788	1.6885	0.77184	0.0000	0.00000	1.6324	0.82740
235	9829	1.6883	0.77164	0.0000	0.00000	1.6329	0.82790
236	9871	1.6872	0.77312	0.0000	0.00000	1.6349	0.82540
237	9912	1.6886	0.77168	0.0000	0.00000	1.6280	0.83260
238	9954	1.6866	0.77386	0.0000	0.00000	1.6321	0.82870
239	9996	1.6840	0.77624	0.0000	0.00000	1.6303	0.83010
240	10037	1.6884	0.77156	0.0000	0.00000	1.6339	0.82640
241	10079	1.6891	0.77118	0.0000	0.00000	1.6327	0.82730
242	10121	1.6858	0.77412	0.0000	0.00000	1.6373	0.82330
243	10162	1.6841	0.77554	0.0000	0.00000	1.6343	0.82520
244	10204	1.6878	0.77228	0.0000	0.00000	1.6271	0.83350
245	10246	1.6851	0.77484	0.0000	0.00000	1.6307	0.82980
246	10287	1.6838	0.77632	0.0000	0.00000	1.6350	0.82500
247	10329	1.6825	0.77736	0.0000	0.00000	1.6309	0.82890
248	10371	1.6818	0.77850	0.0000	0.00000	1.6301	0.83110
249	10412	1.6827	0.77768	0.0000	0.00000	1.6262	0.83350
250	10454	1.6836	0.77654	0.0000	0.00000	1.6330	0.82730
251	10496	1.6840	0.77638	0.0000	0.00000	1.6318	0.82940
252	10537	1.6807	0.77948	0.0000	0.00000	1.6281	0.83240
253	10579	1.6827	0.77790	0.0000	0.00000	1.6248	0.83530
254	10621	1.6830	0.77664	0.0000	0.00000	1.6302	0.83020
255	10662	1.6820	0.77790	0.0000	0.00000	1.6290	0.83140
256	10704	1.6817	0.77864	0.0000	0.00000	1.6278	0.83210
257	10745	1.6793	0.78072	0.0000	0.00000	1.6261	0.83410
258	10787	1.6788	0.78148	0.0000	0.00000	1.6291	0.83060
259	10829	1.6786	0.78154	0.0000	0.00000	1.6290	0.83140
260	10870	1.6794	0.78100	0.0000	0.00000	1.6271	0.83350
261	10912	1.6787	0.78138	0.0000	0.00000	1.6296	0.83080
262	10954	1.6782	0.78194	0.0000	0.00000	1.6217	0.83920
263	10996	1.6777	0.78244	0.0000	0.00000	1.6290	0.83140
264	11037	1.6783	0.78210	0.0000	0.00000	1.6264	0.83350
265	11079	1.6772	0.78286	0.0000	0.00000	1.6255	0.83470
266	11121	1.6785	0.78080	0.0000	0.00000	1.6294	0.83100
267	11162	1.6761	0.78402	0.0000	0.00000	1.6261	0.83510
268	11204	1.6805	0.77964	0.0000	0.00000	1.6258	0.83360
269	11246	1.6776	0.78284	0.0000	0.00000	1.6235	0.83750
270	11287	1.6798	0.78024	0.0000	0.00000	1.6209	0.84000
271	11329	1.6766	0.78316	0.0000	0.00000	1.6225	0.83750
272	11371	1.6748	0.78534	0.0000	0.00000	1.6228	0.83670
273	11412	1.6742	0.78586	0.0000	0.00000	1.6260	0.83420
274	11454	1.6739	0.78678	0.0000	0.00000	1.6225	0.83810
275	11496	1.6752	0.78506	0.0000	0.00000	1.6239	0.83620
276	11538	1.6767	0.78338	0.0000	0.00000	1.6253	0.83440
277	11580	1.6731	0.78692	0.0000	0.00000	1.6250	0.83570
278	11621	1.6720	0.78798	0.0000	0.00000	1.6188	0.84140
279	11663	1.6729	0.78730	0.0000	0.00000	1.6197	0.84050
280	11705	1.6729	0.78710	0.0000	0.00000	1.6190	0.84150
281	11746	1.6726	0.78778	0.0000	0.00000	1.6192	0.84190
282	11788	1.6712	0.78916	0.0000	0.00000	1.6242	0.83600
283	11830	1.6715	0.78890	0.0000	0.00000	1.6248	0.83560
284	11871	1.6719	0.78856	0.0000	0.00000	1.6200	0.84030
285	11913	1.6708	0.78958	0.0000	0.00000	1.6190	0.84150
286	11955	1.6732	0.78766	0.0000	0.00000	1.6197	0.84140
287	11996	1.6696	0.79044	0.0000	0.00000	1.6175	0.84330
288	12038	1.6710	0.78894	0.0000	0.00000	1.6190	0.84230
289	12080	1.6680	0.79240	0.0000	0.00000	1.6167	0.84370
290	12122	1.6706	0.78992	0.0000	0.00000	1.6186	0.84110
291	12163	1.6707	0.78904	0.0000	0.00000	1.6192	0.84070
292	12205	1.6682	0.79144	0.0000	0.00000	1.6230	0.83720
293	12247	1.6715	0.78858	0.0000	0.00000	1.6202	0.84080
294	12288	1.6673	0.79288	0.0000	0.00000	1.6186	0.84200
295	12330	1.6710	0.78964	0.0000	0.00000	1.6180	0.84240
296	12372	1.6680	0.79264	0.0000	0.00000	1.6204	0.84060
297	12414	1.6705	0.78936	0.0000	0.00000	1.6169	0.84310
298	12455	1.6682	0.79228	0.0000	0.00000	1.6158	0.84510
299	12497	1.6687	0.79140	0.0000	0.00000	1.6204	0.84040
300	12539	1.6666	0.79370	0.0000	0.00000	1.6218	0.83880
301	12580	1.6668	0.79332	0.0000	0.00000	1.6192	0.84100
302	12622	1.6655	0.79510	0.0000	0.00000	1.6192	0.84120
303	12664	1.6659	0.79432	0.0000	0.00000	1.6130	0.84700
304	12706	1.6677	0.79216	0.0000	0.00000	1.6199	0.84000
305	12747	1.6650	0.79512	0.0000	0.00000	1.6137	0.84660
306	12789	1.6639	0.79666	0.0000	0.00000	1.6137	0.84680
307	12830	1.6657	0.79478	0.0000	0.00000	1.6141	0.84620
308	12872	1.6631	0.79706	0.0000	0.00000	1.6171	0.84310
309	12914	1.6640	0.79634	0.0000	0.00000	1.6153	0.84560
310	12956	1.6649	0.79560	0.0000	0.00000	1.6170	0.84340
311	12997	1.6641	0.79600	0.0000	0.00000	1.6180	0.84240
312	13039	1.6607	0.79944	0.0000	0.00000	1.6135	0.84690
313	13081	1.6626	0.79772	0.0000	0.00000	1.6136	0.84660
314	13122	1.6639	0.79638	0.0000	0.00000	1.6180	0.84170
315	13164	1.6616	0.79910	0.0000	0.00000	1.6129	0.84710
316	13206	1.6601	0.79980	0.0000	0.00000	1.6153	0.84540
317	13247	1.6630	0.79696	0.0000	0.00000	1.6127	0.84730
318	13289	1.6601	0.80046	0.0000	0.00000	1.6123	0.84770
319	13331	1.6615	0.79850	0.0000	0.00000	1.6117	0.84990
320	13373	1.6630	0.79742	0.0000	0.00000	1.6141	0.84640
321	13414	1.6626	0.79794	0.0000	0.00000	1.6159	0.84460
322	13456	1.6593	0.80072	0.0000	0.00000	1.6159	0.84470
323	13498	1.6611	0.79904	0.0000	0.00000	1.6115	0.84890
324	13540	1.6610	0.79910	0.0000	0.00000	1.6115	0.84930
325	13581	1.6595	0.80078	0.0000	0.00000	1.6130	0.84770
